Englisch;Deutsch
to confuse with;verwechseln mit
estate;Eigentum, Besitztümer
to retard;bremsen, hemmen, verzögern, zurückhalten
to seduce;verführen
yelling;Geschrei
supple;flexibel, weich, geschmeidig
salvation;Heil
firm;fest
ridiculous;lächerlich
a tad;ein bisschen
lewd comment;anzüglicher Kommentar
to giggle;kichern
salvation army;Heilsarmee
apparently;offensichtlich
his place;seine Bude
to trouser;einstecken
to owe;schulden, schuldig sein
weaker;schwächer
awful;furchtbar, schrecklich
to ask out;ausfragen
chest;Brust
to cramp;eingehen, beengen, hindern, hemmen
issue;Frage, Problem, Sachverhalt, Streitfall
perky;frech, putzmunter
mnemonic;Eselsbrücke
painkillers;Schmerzmittel
to interject;einwerfen
to pull somebody;jemanden anmachen
gap;Lücke
to glare;zornig anstarren
to jiggle;rütteln, sich selbstständig bewegen
secretly;heimlich
flatulence;unkontrollierbare Blähungen
to pertain to;sich beziehen auf, etwas betreffen
spare;frei, überflüssig, überzählig, sparsam
suggestive, ambiguous;zweideutig
to yell, to cry;schreien
to beat up;zusammenschlagen
misery;Misere
bra;BH
autumn;Herbst
amount;Menge, Dosis
juncture;kritischer Augenblick
lesser;geringer, weniger bedeutend
instrusive;aufdringlich
to spare;verschonen
to peek;gucken
to cry;schreien, weinen
epiphany;Erscheinung, Offenbarung
lass;unverheiratetes Mädchen
adhesive;Klebstoff, klebend
